route,record_type,record_id,field,rules,substitutions,length_delta,produced,topic,topic_keyword_before,topic_keyword_after
lua,SPEL,daedric bite,name,R300,1,0,12,,0,0
lua,SPEL,daedric endurance,name,R300,1,0,17,,0,0
lua,SPEL,daedric fatigue,name,R300,1,0,15,,0,0
lua,SPEL,daedric health,name,R300,1,0,14,,0,0
lua,SPEL,daedric intelligence,name,R300,1,0,20,,0,0
lua,SPEL,daedric luck,name,R300,1,0,12,,0,0
lua,SPEL,daedric personality,name,R300,1,0,19,,0,0
lua,SPEL,daedric speed,name,R300,1,0,13,,0,0
lua,SPEL,daedric strength,name,R300,1,0,16,,0,0
lua,SPEL,daedric willpower,name,R300,1,0,17,,0,0
lua,SPEL,dagoth_ur_shield_04,name,R900,1,-1,16,,0,0
lua,SPEL,dire weakness to magicka,name,R720,1,2,26,,0,0
lua,SPEL,dread curse: spell points,name,R800,1,-6,19,,0,0
lua,SPEL,grave curse: spell points,name,R900,1,-1,19,,0,0
lua,SPEL,great resist magicka,name,R710,1,2,22,,0,0
lua,SPEL,magicka leech,name,R900,1,-1,12,,0,0
lua,SPEL,magicka mult bonus_10,name,R900,1,-1,12,,0,0
lua,SPEL,magicka mult bonus_15,name,R900,1,-1,12,,0,0
lua,SPEL,magicka mult bonus_5,name,R900,1,-1,12,,0,0
lua,SPEL,resist magicka,name,R710,1,2,16,,0,0
lua,SPEL,resist magicka_25,name,R710,1,2,16,,0,0
lua,SPEL,resist magicka_50,name,R710,1,2,16,,0,0
lua,SPEL,strong resist magicka,name,R710,1,2,23,,0,0
lua,SPEL,summon daedroth,name,R400,1,0,15,,0,0
lua,SPEL,variable resist magicka,name,R710,1,2,25,,0,0
lua,SPEL,weakness magicka_50,name,R720,1,2,21,,0,0
lua,SPEL,weakness to magicka,name,R720,1,2,21,,0,0
lua,MISC,key_Forge of Rolamus,name,R300,1,0,19,,0,0
lua,MISC,key_ashalmawia_prisoncell,name,R300,1,0,19,,0,0
lua,MISC,key_ashurninibi,name,R300,1,0,19,,0,0
lua,MISC,key_ashurninibi_lost,name,R300,1,0,27,,0,0
lua,MISC,key_ibardad_tomb,name,R300,1,0,27,,0,0
plugin,WEAP,daedric arrow,name,R300,1,0,13,,0,0
plugin,WEAP,daedric battle axe,name,R300,1,0,18,,0,0
plugin,WEAP,daedric claymore,name,R300,1,0,16,,0,0
plugin,WEAP,daedric club,name,R300,1,0,12,,0,0
plugin,WEAP,daedric dagger,name,R300,1,0,14,,0,0
plugin,WEAP,daedric dai-katana,name,R300,1,0,18,,0,0
plugin,WEAP,daedric dart,name,R300,1,0,12,,0,0
plugin,WEAP,daedric katana,name,R300,1,0,14,,0,0
plugin,WEAP,daedric long bow,name,R300,1,0,16,,0,0
plugin,WEAP,daedric longsword,name,R300,1,0,17,,0,0
plugin,WEAP,daedric mace,name,R300,1,0,12,,0,0
plugin,WEAP,daedric shortsword,name,R300,1,0,18,,0,0
plugin,WEAP,daedric spear,name,R300,1,0,13,,0,0
plugin,WEAP,daedric staff,name,R300,1,0,13,,0,0
plugin,WEAP,daedric tanto,name,R300,1,0,13,,0,0
plugin,WEAP,daedric wakizashi,name,R300,1,0,17,,0,0
plugin,WEAP,daedric wakizashi_hhst,name,R300,1,0,17,,0,0
plugin,WEAP,daedric war axe,name,R300,1,0,15,,0,0
plugin,WEAP,daedric warhammer,name,R300,1,0,17,,0,0
plugin,WEAP,daedric_crescent_unique,name,R300,1,0,16,,0,0
plugin,CREA,daedroth,name,R400,1,0,8,,0,0
plugin,CREA,daedroth_az,name,R400,1,0,8,,0,0
plugin,CREA,daedroth_baladas,name,R400,1,0,8,,0,0
plugin,CREA,daedroth_summon,name,R400,1,0,8,,0,0
plugin,ARMO,daedric_boots,name,R300,1,0,13,,0,0
plugin,ARMO,daedric_cuirass,name,R300,1,0,15,,0,0
plugin,ARMO,daedric_cuirass_htab,name,R300,1,0,15,,0,0
plugin,ARMO,daedric_fountain_helm,name,R300,1,0,27,,0,0
plugin,ARMO,daedric_gauntlet_left,name,R300,1,0,21,,0,0
plugin,ARMO,daedric_gauntlet_right,name,R300,1,0,22,,0,0
plugin,ARMO,daedric_god_helm,name,R300,1,0,19,,0,0
plugin,ARMO,daedric_greaves,name,R300,1,0,15,,0,0
plugin,ARMO,daedric_greaves_htab,name,R300,1,0,15,,0,0
plugin,ARMO,daedric_pauldron_left,name,R300,1,0,21,,0,0
plugin,ARMO,daedric_pauldron_right,name,R300,1,0,22,,0,0
plugin,ARMO,daedric_shield,name,R300,1,0,14,,0,0
plugin,ARMO,daedric_terrifying_helm,name,R300,1,0,22,,0,0
plugin,ARMO,daedric_towershield,name,R300,1,0,20,,0,0
plugin,CLOT,Daedric_special,name,R300,1,0,24,,0,0
lua,INGR,ingred_cursed_daedras_heart_01,name,R010,1,-3,11,,0,0
lua,INGR,ingred_daedra_skin_01,name,R500,1,-1,10,,0,0
lua,INGR,ingred_daedras_heart_01,name,R010,1,-3,11,,0,0
lua,BOOK,BookSkill_Alchemy4,text,R400,2,0,3066,,0,0
lua,BOOK,BookSkill_Alteration3,text,R600,3,0,1700,,0,0
lua,BOOK,BookSkill_Athletics3,text,R400 R500,2,-1,3018,,0,0
lua,BOOK,BookSkill_Block1,text,R500,2,-2,6007,,0,0
lua,BOOK,BookSkill_Block5,text,R500,2,-2,1830,,0,0
lua,BOOK,BookSkill_Conjuration1,text,R500,5,-5,10156,,0,0
lua,BOOK,BookSkill_Conjuration2,text,R500,1,-1,10483,,0,0
lua,BOOK,BookSkill_Conjuration4,text,R400 R500,7,-4,13368,,0,0
lua,BOOK,BookSkill_Enchant1,text,R300,1,0,8710,,0,0
lua,BOOK,BookSkill_Enchant2,text,R500,1,-1,9229,,0,0
lua,BOOK,BookSkill_Heavy Armor2,text,R300,1,0,9508,,0,0
lua,BOOK,BookSkill_Long Blade1,text,R300,1,0,10728,,0,0
lua,BOOK,BookSkill_Mercantile3,text,R500,1,-1,8676,,0,0
lua,BOOK,BookSkill_Mysticism2,text,R500,1,-1,9457,,0,0
lua,BOOK,BookSkill_Mysticism5,text,R500,3,-3,5491,,0,0
lua,BOOK,BookSkill_Restoration4,text,R500,5,-5,8437,,0,0
lua,BOOK,BookSkill_Short Blade2,text,R500,2,-2,11820,,0,0
lua,BOOK,BookSkill_Sneak2,text,R500,2,-2,12476,,0,0
lua,BOOK,BookSkill_Sneak3,text,R500 R600,5,-3,5375,,0,0
lua,BOOK,BookSkill_Spear2,text,R500,1,-1,10250,,0,0
lua,BOOK,BookSkill_Speechcraft1,text,R500,2,-2,7700,,0,0
lua,BOOK,bk_AncestorsAndTheDunmer,text,R500 R600,2,-1,8527,,0,0
lua,BOOK,bk_AnnotatedAnuad,text,R500 R600,3,-2,4340,,0,0
lua,BOOK,bk_Anticipations,text,R500,10,-10,2997,,0,0
lua,BOOK,bk_BlasphemousRevenants,text,R110,1,-2,2439,,0,0
lua,BOOK,bk_Boethiah's Glory_unique,text,R500,1,-1,889,,0,0
lua,BOOK,bk_BookOfDaedra,name,R500,1,-1,17,,0,0
lua,BOOK,bk_BookOfDaedra,text,R250 R500,10,-11,3551,,0,0
lua,BOOK,bk_BriefHistoryEmpire3,text,R500,1,-1,4468,,0,0
lua,BOOK,bk_BriefHistoryEmpire3_oh,text,R500,1,-1,4466,,0,0
lua,BOOK,bk_BrothersOfDarkness,text,R500,1,-1,4689,,0,0
lua,BOOK,bk_ChangedOnes,text,R600,1,0,1295,,0,0
lua,BOOK,bk_ChildrensAnuad,text,R500 R600,3,-2,4342,,0,0
lua,BOOK,bk_Dagoth_Urs_Plans,text,R500,2,-2,9523,,0,0
lua,BOOK,bk_HouseOfTroubles_c,text,R500,2,-2,2484,,0,0
lua,BOOK,bk_HouseOfTroubles_o,text,R500,2,-2,2484,,0,0
lua,BOOK,bk_Ibardad_Elante_notes,text,R300,1,0,2668,,0,0
lua,BOOK,bk_InvocationOfAzura,text,R220 R400 R500,5,-6,3961,,0,0
lua,BOOK,bk_LegendaryScourge,text,R210,1,-2,1245,,0,0
lua,BOOK,bk_LivesOfTheSaints,text,R500,3,-3,3735,,0,0
lua,BOOK,bk_Mysticism,text,R300,1,0,2993,,0,0
lua,BOOK,bk_PigChildren,text,R500,1,-1,1832,,0,0
lua,BOOK,bk_PilgrimsPath,text,R200 R500,2,-3,6929,,0,0
lua,BOOK,bk_PostingOfTheHunt,text,R300 R500,2,-1,4600,,0,0
lua,BOOK,bk_SpiritOfTheDaedra,name,R500,1,-1,19,,0,0
lua,BOOK,bk_TalMarogKersResearches,text,R500,3,-3,3462,,0,0
lua,BOOK,bk_WatersOfOblivion,text,R500,1,-1,1058,,0,0
lua,BOOK,bk_Yagrum's_Book,text,R210 R230 R300 R500,8,-5,16103,,0,0
lua,BOOK,bk_auranefrernis2,text,R500,1,-1,877,,0,0
lua,BOOK,bk_bartendersguide,text,R500,1,-1,1382,,0,0
lua,BOOK,bk_bartendersguide_01,text,R500,1,-1,1382,,0,0
lua,BOOK,bk_clientlist,text,R500,1,-1,300,,0,0
lua,BOOK,bk_darkestdarkness,text,R100 R200 R300 R400 R500,27,-29,3704,,0,0
lua,BOOK,bk_formygodsandemperor,text,R600,1,0,7985,,0,0
lua,BOOK,bk_galur_rithari's_papers,text,R500,1,-1,1959,,0,0
lua,BOOK,bk_guide_to_vivec,text,R200,1,-2,6572,,0,0
lua,BOOK,bk_guide_to_vvardenfell,text,R100 R140 R270,3,-6,13383,,0,0
lua,BOOK,bk_manyfacesmissinggod,text,R300 R500 R600,22,-11,18076,,0,0
lua,BOOK,bk_oldways,text,R500,3,-3,4086,,0,0
lua,BOOK,bk_onoblivion,text,R400 R500,15,-13,4069,,0,0
lua,BOOK,bk_poisonsong6,text,R300,1,0,8060,,0,0
lua,BOOK,bk_progressoftruth,text,R500,2,-2,5154,,0,0
lua,BOOK,bk_thelostprophecy,text,R500,1,-1,1795,,0,0
lua,BOOK,bk_truenatureoforcs,text,R400 R500,4,-2,1610,,0,0
lua,BOOK,bk_truenoblescode,text,R500 R600,2,-1,2546,,0,0
lua,BOOK,bk_vampiresofvvardenfell2,text,R500,1,-1,2091,,0,0
lua,BOOK,bk_varietiesoffaithintheempire,text,R260 R300 R500,5,-6,25630,,0,0
lua,BOOK,bk_vivec_murders,text,R500,1,-1,7926,,0,0
lua,BOOK,bk_vivec_no_murder,text,R500,3,-3,10713,,0,0
lua,BOOK,bk_vivecandmephala,text,R500,4,-4,4126,,0,0
lua,BOOK,bk_wherewereyoudragonbroke,text,R600,1,0,3706,,0,0
lua,BOOK,bookskill_acrobatics1,text,R500,1,-1,6847,,0,0
lua,BOOK,bookskill_hand to hand1,text,R500,1,-1,5658,,0,0
lua,BOOK,bookskill_hand to hand2,text,R500,1,-1,8203,,0,0
lua,BOOK,bookskill_hand to hand3,text,R500,1,-1,6124,,0,0
lua,BOOK,bookskill_hand to hand4,text,R300 R500,3,-2,7862,,0,0
lua,BOOK,bookskill_heavy armor5,text,R400,1,0,3003,,0,0
lua,BOOK,bookskill_illusion5,text,R400,1,0,10963,,0,0
lua,BOOK,bookskill_light armor4,text,R600,2,0,1905,,0,0
lua,BOOK,bookskill_light armor5,text,R400,1,0,3312,,0,0
lua,BOOK,bookskill_marksman3,text,R500,12,-12,9754,,0,0
lua,BOOK,bookskill_restoration1,text,R300,1,0,9600,,0,0
lua,BOOK,bookskill_restoration2,text,R500,2,-2,2679,,0,0
lua,BOOK,bookskill_security2,text,R300,2,0,12206,,0,0
lua,BOOK,bookskill_security4,text,R500,1,-1,6680,,0,0
lua,BOOK,bookskill_spear1,text,R500,1,-1,5493,,0,0
lua,BOOK,bookskill_spear3,text,R500,1,-1,3195,,0,0
lua,BOOK,bookskill_unarmored2,text,R500,1,-1,6110,,0,0
lua,ALCH,p_fortify_magicka_b,name,R900,1,-1,22,,0,0
lua,ALCH,p_fortify_magicka_c,name,R900,1,-1,30,,0,0
lua,ALCH,p_fortify_magicka_e,name,R900,1,-1,24,,0,0
lua,ALCH,p_fortify_magicka_q,name,R900,1,-1,22,,0,0
lua,ALCH,p_fortify_magicka_s,name,R900,1,-1,30,,0,0
lua,ALCH,p_magicka_resistance_b,name,R700,1,2,28,,0,0
lua,ALCH,p_magicka_resistance_c,name,R700,1,2,26,,0,0
lua,ALCH,p_magicka_resistance_e,name,R700,1,2,30,,0,0
lua,ALCH,p_magicka_resistance_q,name,R700,1,2,28,,0,0
lua,ALCH,p_magicka_resistance_s,name,R700,1,2,29,,0,0
lua,ALCH,p_restore_magicka_b,name,R900,1,-1,22,,0,0
lua,ALCH,p_restore_magicka_c,name,R900,1,-1,20,,0,0
lua,ALCH,p_restore_magicka_e,name,R900,1,-1,24,,0,0
lua,ALCH,p_restore_magicka_q,name,R900,1,-1,22,,0,0
lua,ALCH,p_restore_magicka_s,name,R900,1,-1,30,,0,0
plugin,INFO,165843760212649393,text,R500,1,-1,475,Unrest in Cyrodiil City,0,0
plugin,INFO,25637956482522538,text,R100,1,-2,154,Sanguine Sublime Wisdom,1,1
plugin,INFO,210998413200821575,text,R300,1,0,218,Masque of Clavicus Vile,0,0
plugin,INFO,1092511116141117629,text,R100,1,-2,271,Orcs at a Daedric ruin,0,0
plugin,INFO,3226014863257239147,text,R500,1,-1,390,war on the Nerevarine,0,0
plugin,INFO,4567325263602459,text,R500,1,-1,343,bound weapons spells,0,0
plugin,INFO,131915680210358034,text,R500,1,-1,343,bound weapons spells,0,0
plugin,INFO,23663253802239623244,text,R500,1,-1,343,bound weapons spells,0,0
plugin,INFO,13044239262985121522,text,R500,1,-1,343,bound weapons spells,0,0
plugin,INFO,183628557173843732,text,R500,1,-1,343,bound weapons spells,0,0
plugin,INFO,31044390636421846,text,R500,1,-1,343,bound weapons spells,0,0
plugin,INFO,22938288651497710110,text,R500,1,-1,343,bound weapons spells,0,0
plugin,INFO,20594172332804912531,text,R500,1,-1,452,people of Morrowind,0,0
plugin,INFO,1637516755341926555,text,R300,1,0,72,Vassir Didanat Mine,0,0
plugin,INFO,238932080655311548,text,R300,1,0,130,Vassir Didanat Mine,0,0
plugin,INFO,14569272131398421066,text,R300,1,0,92,Vassir Didanat Mine,0,0
plugin,INFO,31882766643491381,text,R300,1,0,102,Vassir Didanat Mine,0,0
plugin,INFO,10599176632402013147,text,R300,1,0,89,Vassir Didanat Mine,0,0
plugin,INFO,307422442440019203,text,R300,1,0,112,Vassir Didanat Mine,0,0
plugin,INFO,1231318026306519354,text,R100,1,-2,150,sealed Daedric ruin,0,0
plugin,INFO,4866123242387511643,text,R400,1,0,332,Player of the Game,0,0
plugin,INFO,164810425806411822,text,R400,1,0,332,Player of the Game,0,0
plugin,INFO,92272523014119350,text,R300,2,0,391,heavy armor styles,0,0
plugin,INFO,3011421638310527707,text,R300,2,0,391,heavy armor styles,0,0
plugin,INFO,1796146812115820063,text,R300,2,0,391,heavy armor styles,0,0
plugin,INFO,228559111152502468,text,R300,2,0,391,heavy armor styles,0,0
plugin,INFO,10202180523024431080,text,R300,2,0,391,heavy armor styles,0,0
plugin,INFO,39845081645223018,text,R300,2,0,391,heavy armor styles,0,0
plugin,INFO,215132642762111537,text,R300,2,0,391,heavy armor styles,0,0
plugin,INFO,269463199827123017,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,23296139855178278,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,13668241971705831167,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,27508144572074118082,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,26155226611790424302,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,17958291341163422651,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,226371357053325416,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,13261247872688832685,text,R300,1,0,501,light armor styles,0,0
plugin,INFO,1647324345213796668,text,R300,1,0,217,material and craft,1,1
plugin,INFO,3204822843910829785,text,R500,4,-4,464,Daedric summonings,1,1
plugin,INFO,258186938151368051,text,R500,4,-4,464,Daedric summonings,1,1
plugin,INFO,177942089766420471,text,R500,1,-1,326,bound armor spells,1,1
plugin,INFO,238842330205516064,text,R500,1,-1,326,bound armor spells,1,1
plugin,INFO,19393229311603430580,text,R500,1,-1,326,bound armor spells,1,1
plugin,INFO,13125145792237029688,text,R500,1,-1,326,bound armor spells,1,1
plugin,INFO,2296424604965814421,text,R500,1,-1,326,bound armor spells,1,1
plugin,INFO,2837727123107723176,text,R500,1,-1,326,bound armor spells,1,1
plugin,INFO,1416722331880314880,text,R500,1,-1,326,bound armor spells,1,1
plugin,INFO,932425122266223858,text,R100,1,-2,388,gold kanet flower,0,0
plugin,INFO,1053123401240582096,text,R500,1,-1,151,sensitive matters,0,0
plugin,INFO,18879125951316324172,text,R500,1,-1,379,Redoran Hortator,0,0
plugin,INFO,1825146562838218905,text,R500,1,-1,342,Redoran Hortator,0,0
plugin,INFO,840729737232129082,text,R400,1,0,445,summoning spells,1,1
plugin,INFO,2782091362716810383,text,R400,1,0,445,summoning spells,1,1
plugin,INFO,815710329405228975,text,R400,1,0,445,summoning spells,1,1
plugin,INFO,3050776952842713146,text,R400,1,0,445,summoning spells,1,1
plugin,INFO,9803214401253319157,text,R400,1,0,445,summoning spells,1,1
plugin,INFO,3688255662191031689,text,R400,1,0,445,summoning spells,1,1
plugin,INFO,1756623776980030532,text,R400,1,0,445,summoning spells,1,1
plugin,INFO,7939321882060124566,text,R400,1,0,475,explore together,0,0
plugin,INFO,1776920257330710884,text,R100,1,-2,404,Ring of the Wind,0,0
plugin,INFO,51358524162012703,text,R400,1,0,190,Hlireni Indavel,1,1
plugin,INFO,3103727901690722640,text,R120 R500,2,-3,371,Hlireni Indavel,0,0
plugin,INFO,567414595162866916,text,R240 R500,3,-4,128,winged twilight,1,1
plugin,INFO,1599922720300213468,text,R240 R500,3,-4,128,winged twilight,1,1
plugin,INFO,40275741867025900,text,R500,2,-2,252,exotic products,1,1
plugin,INFO,23430028821625820,text,R500,2,-2,252,exotic products,1,1
plugin,INFO,6963154371506714481,text,R100,1,-2,412,specific place,0,0
plugin,INFO,22010612395371320,text,R270,1,-2,196,flame atronach,1,1
plugin,INFO,352621530612704,text,R270,1,-2,196,flame atronach,1,1
plugin,INFO,234952372639094666,text,R270,1,-2,200,frost atronach,2,2
plugin,INFO,244639002936515910,text,R270,1,-2,200,frost atronach,2,2
plugin,INFO,2522915002870332121,text,R270,1,-2,204,storm atronach,2,2
plugin,INFO,41302208659118958,text,R270,1,-2,204,storm atronach,2,2
plugin,INFO,23449314121640910844,text,R500,1,-1,247,Daedra's heart,2,1
plugin,INFO,2718011837103625929,text,R500,1,-1,247,Daedra's heart,2,1
plugin,INFO,32354297442887026523,text,R500,1,-1,378,vampirism cure,0,0
plugin,INFO,7027327552545817126,text,R500,1,-1,365,Humanoid Races,0,0
plugin,INFO,28455296191979011517,text,R100,1,-2,167,Joncis Dalomax,1,1
plugin,INFO,256153141124018972,text,R100,1,-2,280,Ashalmimilkala,1,1
plugin,INFO,18724106871144813180,text,R100,1,-2,282,Ashalmimilkala,1,1
plugin,INFO,81418063306221012,text,R500,2,-2,230,Daedra's Pawn,0,0
plugin,INFO,2280215770695014012,text,R100 R400,2,-2,133,Ahemmusa camp,1,1
plugin,INFO,1163613760290325210,text,R500,1,-1,335,Daedric sites,0,0
plugin,INFO,947826065722121726,text,R500,4,-4,389,Daedric sites,0,0
plugin,INFO,1780757646719404,text,R400,1,0,221,accompany you,1,1
plugin,INFO,26949321972009317085,text,R400,1,0,142,accompany you,1,1
plugin,INFO,17258938821019115,text,R400,1,0,58,accompany you,1,1
plugin,INFO,14406136233904608,text,R400,1,0,122,accompany you,1,1
plugin,INFO,1796152213109715098,text,R400,1,0,254,accompany you,1,1
plugin,INFO,17904321252405415910,text,R400,1,0,137,accompany you,1,1
plugin,INFO,2682512249265228814,text,R110 R400,3,-2,397,accompany you,1,1
plugin,INFO,22911232913039718394,text,R400,2,0,306,accompany you,1,1
plugin,INFO,92038942909521601,text,R400,3,0,505,accompany you,1,1
plugin,INFO,673821472106711099,text,R110,1,-2,498,little secret,0,0
plugin,INFO,785732822678819521,text,R110,1,-2,498,little secret,0,0
plugin,INFO,124974922249611126,text,R100,1,-2,381,little secret,0,0
plugin,INFO,25729225963140232687,text,R500,1,-1,314,latest rumors,0,0
plugin,INFO,276633262352427495,text,R500,1,-1,154,latest rumors,0,0
plugin,INFO,25621103999213660,text,R500,1,-1,102,latest rumors,0,0
plugin,INFO,218051894382021198,text,R600,1,0,449,Imperial cult,1,1
plugin,INFO,31931137473110828419,text,R500,2,-2,410,way to escape,0,0
plugin,INFO,3220021953679228145,text,R500,1,-1,255,raw materials,0,0
plugin,INFO,24320163261010028218,text,R500 R600,3,-2,491,break my oath,0,0
plugin,INFO,221243748513011976,text,R100,1,-2,482,Skull-Crusher,2,2
plugin,INFO,1930678221600320481,text,R500,1,-1,304,Skull-Crusher,0,0
plugin,INFO,2280321719426622601,text,R100 R120,3,-6,377,Skull-Crusher,1,1
plugin,INFO,1270723012253289371,text,R500,1,-1,192,Azura's Fool,0,0
plugin,INFO,202484823143412349,text,R120,1,-2,146,Ald Daedroth,1,1
plugin,INFO,19490137733140524327,text,R400,1,0,79,make it safe,0,0
plugin,INFO,877220269297527221,text,R400,2,0,396,make it safe,0,0
plugin,INFO,361921234262745713,text,R400,3,0,381,make it safe,1,1
plugin,INFO,85761739158131290,text,R100 R500,2,-3,421,Four Corners,1,1
plugin,INFO,17387101471785030673,text,R300 R500,2,-1,429,Four Corners,1,1
plugin,INFO,31736211981826415121,text,R500,1,-1,278,nothing left,0,0
plugin,INFO,19389260531509322592,text,R500,2,-2,207,strong souls,0,0
plugin,INFO,20648175702863015478,text,R100,2,-4,313,Maelkashishi,1,1
plugin,INFO,9192286043218978,text,R500,1,-1,475,Sixth House,0,0
plugin,INFO,626330163484113756,text,R500,1,-1,237,Daedra Skin,2,1
plugin,INFO,2008411972330818414,text,R500,3,-3,278,Daedra Skin,2,1
plugin,INFO,302182842587958280,text,R500,2,-2,186,Daedra Skin,2,1
plugin,INFO,1552112570775215760,text,R500,2,-2,186,Daedra Skin,2,1
plugin,INFO,2302128661764914469,text,R500,1,-1,230,who are you,0,0
plugin,INFO,28401184352168431557,text,R500,1,-1,230,who are you,0,0
plugin,INFO,7845286491425821777,text,R400,2,0,402,Gambolpuddy,1,1
plugin,INFO,1228113341154996662,text,R120 R400,3,-4,455,Ordinators,3,3
plugin,INFO,1856323442151927010,text,R400,1,0,78,safe place,0,0
plugin,INFO,2506946612893128418,text,R110 R400,4,-2,472,safe place,1,1
plugin,INFO,292442930812206363,text,R400,1,0,78,safe place,0,0
plugin,INFO,22949307441425724768,text,R500,1,-1,179,Mount Kand,1,1
plugin,INFO,24310115101398920473,text,R500,1,-1,115,Mount Kand,1,1
plugin,INFO,13349528327226309,text,R500,1,-1,402,Mount Kand,2,2
plugin,INFO,2189930746133321952,text,R400 R500,2,-1,299,Bad Daedra,2,1
plugin,INFO,16033271019818693,text,R400 R500,2,-1,299,Bad Daedra,2,1
plugin,INFO,13302538963722469,text,R500,1,-1,123,Ashalmawia,1,1
plugin,INFO,9819186011414313638,text,R500,4,-4,372,Odirniran,0,0
plugin,INFO,295819958194376852,text,R300,1,0,238,longsword,2,2
plugin,INFO,1964015707149176183,text,R270 R500,2,-3,144,clannfear,1,1
plugin,INFO,3797170121523127866,text,R270 R500,2,-3,144,clannfear,1,1
plugin,INFO,7458153442470511531,text,R500,3,-3,169,atronachs,4,4
plugin,INFO,29198203683166230008,text,R500,3,-3,169,atronachs,4,4
plugin,INFO,21456167471394015241,text,R100 R270,2,-4,219,Ald Sotha,1,1
plugin,INFO,16871106641445926629,text,R100 R270,2,-4,219,Ald Sotha,1,1
plugin,INFO,17800272171933632584,text,R500,1,-1,285,Honthjolf,1,1
plugin,INFO,574580391613828057,text,R500,1,-1,160,Maar Gan,0,0
plugin,INFO,234754529126424634,text,R280 R500,3,-4,224,daedroth,1,1
