actor_id,actor_name,unique_info_count,total_words,keyword_info_count,keyword_words
galos mathendis,Galos Mathendis,30,744,5,97
rolf long-tooth,Rolf Long-Tooth,34,733,0,0
cunius pelelius,Cunius Pelelius,29,726,0,0
ingmar,Ingmar,20,724,0,0
ilmeni dren,Ilmeni Dren,44,719,0,0
goval ralen,Goval Ralen,34,714,0,0
effe_tei,Effe-Tei,13,697,0,0
hlireni indavel,Hlireni Indavel,18,689,2,126
sonummu zabamat,Sonummu Zabamat,16,685,0,0
edd theman,"Edd ""Fast Eddie"" Theman",36,685,0,0
snorri,Snorri,12,683,1,68
teris raledran,Teris Raledran,21,682,0,0
turedus talanian,Turedus Talanian,14,682,0,0
orvas dren druglord,Orvas Dren,23,675,0,0
drarayne girith,Drarayne Girith,19,673,0,0
felisa ulessen,Felisa Ulessen,28,669,0,0
volrina quarra,Volrina Quarra,23,666,1,49
nalion,Nalion,16,655,0,0
im_kilaya,Im-Kilaya,17,655,0,0
hisin deep-raed,Hisin Deep-Raed,18,654,0,0
draugr_aesliip,Draugr Lord Aesliip,20,654,6,222
bivale teneran,Bivale Teneran,22,652,0,0
maurrie aurmine,Maurrie Aurmine,15,649,0,0
vistha_kai,Vistha-Kai,18,648,0,0
chargen captain,Sellus Gravius,16,648,0,0
ingwold,Inwold,16,647,0,0
high_pockets,High-Pockets,23,645,0,0
din,Din,23,641,0,0
deldrise andoren,Deldrise Andoren,26,639,0,0
relur faryon,Relur Faryon,18,637,0,0
felvan ienith,Felvan Ienith,22,636,0,0
narisa adus,Narisa Adus,15,635,0,0
mastrius,Mastrius,29,631,1,85
svenja_outside,Svenja Snow-Song,15,631,0,0
unel lloran,Unel Lloran,28,626,0,0
arara uvulas,Arara Uvulas,29,620,0,0
radd hard-heart,Radd Hard-Heart,41,615,0,0
dilborn,Dilborn,14,611,0,0
galsa gindu,Galsa Gindu,29,607,0,0
tul,Tul,22,606,0,0
mallam ryon,Mallam Ryon,27,603,0,0
varus vatinius,Varus Vantinius,33,602,0,0
dagoth gares,Dagoth Gares,9,600,0,0
aenar,Aenar,41,600,0,0
sanvyn llethri,Sanvyn Llethri,16,594,0,0
rararyn radarys,Rararyn Radarys,20,589,0,0
sirilonwe,Sirilonwe,21,587,0,0
yngling half-troll,Yngling Half-Troll,29,586,0,0
gadayn andarys,Gadayn Andarys,24,585,0,0
vivyne andrano,Vivyne Andrano,18,581,1,20
drulene falen,Drulene Falen,27,579,0,0
baro egnatius,Baro Egnatius,21,578,0,0
daynasa telandas,Daynasa Telandas,18,570,0,0
raxle berne,Raxle Berne,22,569,0,0
chaplain ogrul,Chaplain Ogrul,14,568,0,0
uupse fyr,Uupse Fyr,18,568,0,0
thormoor gray-wave,Thormoor Gray-Wave,11,567,0,0
dralas gilu,Dralas Gilu,17,561,0,0
dravasa andrethi,Dravasa Andrethi's ,17,561,0,0
llandras belaal,Llandras Belaal,17,561,0,0
eralane hledas,Eralane Hledas,17,561,0,0
nelmil hler,Nelmil Hler,17,561,0,0
alvura othrenim,Alvura Othrenim,17,561,0,0
neldris llervu,Neldris Llervu,17,561,0,0
assi serimilk,Assi Serimilk,17,561,0,0
vireveri darethran,Vireveri Darethran,17,561,0,0
endris dilmyn,Endris Dilmyn,17,561,0,0
mehra helas,Mehra Helas,14,561,0,0
lassnr,Lassnr,14,558,0,0
chargen class,Socucius Ergalla,15,555,0,0
bm_riekling_krish_uniqu,Krish,20,546,0,0
bm_reinhardt,Reinhardt Red-Spear,16,544,0,0
rabinna,Rabinna,33,536,0,0
salyn sarethi,Salyn Sarethi,25,530,0,0
neloth,Neloth,23,524,0,0
olvyne dobar,Olvyne Dobar,20,524,0,0
varvur sarethi,Varvur Sarethi,26,521,0,0
marsus tullius,Marsus Tullius,13,519,0,0
mirisa,Mirisa,23,516,0,0
bolrin,Bolrin,14,514,0,0
mossanon,Mossanon,20,512,0,0
athanden girith,Athanden Girith,15,511,0,0
hession,Hession,17,510,0,0
kolfinna,Kolfinna,12,509,0,0
ama nin_disguisemara,Ama Nin,10,507,0,0
daric bielle,Daric Bielle,12,506,0,0
jobasha,Jobasha,21,498,1,36
alvan llarys,Alvan Llarys,13,492,0,0
fenas madach,Fenas Madach,8,489,1,79
nels llendo,Nels Llendo,15,485,0,0
bolvyn venim,Bolvyn Venim,21,480,0,0
elbert nermarc,Elbert Nermarc,12,478,0,0
yagak gro-gluk,Yagak gro-Gluk,16,476,0,0
drathas nerus,Drathas Nerus,15,475,0,0
dwarven ghost_radac,Radac Stungnthumz,13,471,1,99
bereditte jastal,Bereditte Jastal,8,469,0,0
uryn maren,Uryn Maren,23,468,0,0
botrir,Botrir,16,467,0,0
lucan ostorius,Lucan Ostorius,17,461,0,0
arrille,Arrille,8,458,0,0
tymvaul,Tymvaul,11,454,0,0
antonius nuncius,Antonius Nuncius,21,449,0,0
hrisskar flat-foot,Hrisskar Flat-Foot,11,446,0,0
eno romari,Eno Romari,10,443,3,210
urshamusa rapli,Urshamusa Rapli,13,441,0,0
ales julalanie,Ales Julalanie,7,440,0,0
cassius olcinius,Cassius Olcinius,13,438,0,0
piernette beluelle,Piernette Beluelle,13,437,0,0
falx carius2,Captain Falx Carius,14,437,0,0
galms seles,Galms Seles,18,435,0,0
m'aiq,M'Aiq the Liar,15,433,0,0
wulf,Wulf,11,433,0,0
denegor,Denegor,31,433,0,0
bevene releth,Bevene Releth,12,432,0,0
gidar verothan,Gidar Verothan,22,429,0,0
senilias cadiusus,Senilias Cadiusus,16,418,0,0
mervs uvayn,Mervs Uvayn,7,414,1,79
daynes redothril,Daynes Redothril,11,414,0,0
llether vari,Llether Vari,11,414,0,0
thoronor,Thoronor,11,414,0,0
nine_toes,Nine-Toes,13,413,0,0
arethan mandas,Arethan Mandas,11,412,0,0
glenmoril_witch_altar_2,Ettiene of Glenmoril Wyrd,10,412,0,0
seler favelnim,Seler Favelnim,16,411,0,0
pemenie,Pemenie,18,410,0,0
ladia flarugrius,Ladia Flarugrius,11,407,0,0
mevure hlen,Mevure Hlen,9,407,0,0
rigmor halfhand,Rigmor Halfhand,18,407,0,0
kurapli,Kurapli,13,404,0,0
kjolver,Kjolver,14,404,0,0
aurane frernis,Aurane Frernis,13,403,1,77
erich the unworthy,Erich the Unworthy,20,403,0,0
dralora favelnim,Dralora Favelnim,25,403,0,0
thrud,Thrud,18,402,0,0
assaba-bentus,Assaba-Bentus,21,401,0,0
satyana,Satyana,21,393,0,0
marcel maurard,Marcel Maurard,8,390,0,0
vodunius nuccius,Vodunius Nuccius,9,389,0,0
bm_riekling_dulk_unique,Dulk,12,388,0,0
viatrix petilia,Viatrix Petilia,19,387,0,0
gothren,Gothren,10,386,0,0
kausi,Kausi,10,383,0,0
tiras sadus,Tiras Sadus,11,383,0,0
graring,Graring,12,382,0,0
llaalam dredil,Llaalam Dredil,13,379,2,148
salas valor,Salas Valor,16,372,0,0
paur maston,Paur Maston,19,369,0,0
dialog placeholder,dialog placeholder,34,366,0,0
athal nerano,Athal Nerano,5,352,1,79
apelles matius,Apelles Matius,9,347,0,0
umbra,Umbra,8,346,1,61
tharsten heart-fang2,Tharsten Heart-Fang,7,346,0,0
ilnori_faustus,Ilnori Faustus,8,340,0,0
skjoldr wolf-runner,Skjoldr Wolf-Runner,7,340,0,0
delyna mandas,Delyna Mandas,17,338,0,0
jon hawker,Jon Hawker,10,336,0,0
okur,Okur,8,336,0,0
drelasa ramothran,Drelasa Ramothran,11,336,0,0
galyn arvel,Galyn Arvel,13,336,1,26
hroldar the strange_b,Hroldar the Strange,11,336,0,0
yenammu,Yenammu,12,332,1,14
fonus rathryon,Fonus Rathryon,17,331,0,0
tuveso beleth,Tuveso Beleth,21,330,0,0
engar ice-mane,Engar Ice-Mane,12,329,0,0
gildan,Gildan,9,328,0,0
duma gro-lag,Duma gro-Lag,11,326,0,0
drerel indaren,Drerel Indaren,9,325,0,0
adusamsi assurnarairan,Adusamsi Assurnarairan,7,324,0,0
bugrol gro-bagul,Bugrol gro-Bagul,14,322,0,0
aeta wave-breaker,Aeta Wave-Breaker,13,320,0,0
tinos drothan,Tinos Drothan,11,317,0,0
j'dhannar,J'Dhannar,9,317,0,0
yakum hairshashishi,Yakum Hairshashishi,10,316,0,0
surane leoriane,Surane Leoriane,8,315,0,0
hidar,Hidar,25,314,0,0
bacola closcius,Bacola Closcius,9,312,0,0
sosia caristiana,Sosia Caristiana,8,312,0,0
albecius colollius,Albecius Colollius,5,310,1,68
balen andrano,Balen Andrano,11,310,0,0
thormoor_thirsk,Thormoor Gray-Wave,6,310,0,0
holmar,Holmar,36,309,0,0
hannat zainsubani,Hannat Zainsubani,11,308,0,0
balur salvu,Balur Salvu,11,308,0,0
glenmoril_witch_cave_3,Isobel of Glenmoril Wyrd,8,308,0,0
tarvyn faren,Tarvyn Faren,15,307,0,0
rovone arvel,Rovone Arvel,12,307,0,0
baren alen,Baren Alen,17,307,0,0
fargoth,Fargoth,11,306,0,0
basks_in_the_sun,Basks-In-The-Sun,14,306,0,0
alarvyne indalas,Alarvyne Indalas,10,304,0,0
hides_his_foot,Hides-His-Foot,19,304,0,0
eleedal_lei,Eleedal-Lei,13,304,0,0
onlyhestandsthere,Only-He-Stands-There,15,299,0,0
audenian valius,Audenian Valius,9,299,0,0
novor drethan,Novor Drethan,13,298,0,0
rasha,Rasha,11,298,0,0
ra'tesh,Ra'Tesh,10,298,0,0
miun_gei,Miun-Gei,12,295,0,0
nevrasa dralor,Nevrasa Dralor,12,295,0,0
dranas sarathram,Dranas Sarathram,8,294,0,0
urvel dulni,Urvel Dulni,18,292,0,0
risi ice-mane,Risi Ice-Mane,11,292,0,0
tarer braryn,Tarer Braryn,11,290,0,0
sjorvar horse-mouth,Sjorvar Horse-Mouth,8,289,0,0
asciene rane,Asciene Rane,11,289,0,0
sason,Sason,12,288,0,0
alusaron,Alusaron,9,288,0,0
arantamo,Crazy-Legs Arantamo,8,286,2,190
gamin girith,Gamin Girith,16,286,0,0
therdon,Therdon,6,285,0,0
sigvatr the strong,Sigvatr the Strong,8,284,0,0
dutadalk,Dutadalk,10,283,0,0
dro'zhirr,Dro'Zhirr,10,283,0,0
zeno faustus,Zeno Faustus,9,283,0,0
glenmoril_witch_cave_2,Fallaise of Glenmoril Wyrd,7,283,0,0
alvela saram,Alvela Saram,7,282,0,0
meralyn othan,Meralyn Othan,8,282,1,76
eraldil,Eraldil,6,281,0,0
bereditte jastal_out,Bereditte Jastal,4,281,0,0
vevrana aryon,Vevrana Aryon,10,280,0,0
punibi yahaz,Punibi Yahaz,6,279,1,77
nedhelas,Nedhelas,8,279,0,0
berwen,Berwen,15,278,0,0
milyn faram,Milyn Faram,8,278,1,69
fathasa llethri,Fathasa Llethri,11,275,0,0
ennbjof,Ennbjof,9,274,1,72
hides_his_eyes,Hides His Eyes,9,273,0,0
delte fyr,Delte Fyr,6,272,0,0
drarayne thelas,Drarayne Thelas,9,272,0,0
moroni uvelas,Moroni Uvelas,9,272,0,0
elmussa damori,Elmussa Damori,8,271,0,0
gualtierus spurius,Gualtierus Spurius,7,271,0,0
dagoth odros,Dagoth Odros,5,270,0,0
yak gro-skandar,Yak gro-Skandar,14,270,0,0
ulfgar_ghost,Ghost of Ulfgar the Unending,4,270,0,0
larienna macrina,Larienna Macrina,12,269,1,91
rithleen,Rithleen,8,269,0,0
avon oran,Serjo Avon Oran,13,268,0,0
tyermaillin,Tyermaillin,10,267,0,0
tongue_toad,Tongue-Toad,17,265,0,0
fevyn ralen,Fevyn Ralen,9,265,0,0
irarak,Irarak,19,264,0,0
elvil vidron,Elvil Vidron,12,263,0,0
big head,Big Head,8,262,0,0
hroldar the strange,Hroldar the Strange,12,257,0,0
galar rothan,Galar Rothan,6,255,0,0
relam arinith,Relam Arinith,11,254,0,0
duvianus platorius,Duvianus Platorius,13,254,0,0
galbedir,Galbedir,7,254,0,0
ghost_npc_conoon chodal,Conoon Chodala,16,253,0,0
bethes sarothril,Bethes Sarothril,10,251,1,47
drores arvel,Drores Arvel,10,251,1,47
minabibi assardarainat,Minabibi Assardarainat,7,249,0,0
ghost_npc_erur-dan,Erur-Dan,16,247,0,0
mathis dalobar,Mathis Dalobar,16,247,0,0
navam veran,Navam Veran,6,247,0,0
ghost_npc_ane teria,Ane Teria,16,246,0,0
ghost_npc_idrenie nerot,Idrenie Nerothan,16,245,0,0
tashpi ashibael,Tashpi Ashibael,8,243,0,0
ivulen irano,Ivulen Irano,7,243,0,0
ashur-dan,Ashur-Dan,6,241,0,0
ghost_npc_hort_ledd,Hort Ledd,16,236,0,0
taros dral,Taros Dral,10,236,1,29
sinyaramen,Sinyaramen,8,235,0,0
marara,Marara,9,234,0,0
olumba gro-boglar,Olumba gro-Boglar,5,234,0,0
somutis vunnis,Somutis Vunnis,4,234,0,0
synette jeline,Synette Jeline,8,234,0,0
tsiya,Tsiya,9,230,0,0
itermerel,Itermerel,15,230,0,0
tanusea veloth,Tanusea Veloth,10,229,0,0
helviane desele,Helviane Desele,10,227,0,0
beyte fyr,Beyte Fyr,6,224,0,0
glenmoril_witch_cave,Ettiene of Glenmoril Wyrd,7,224,0,0
thavere vedrano,Thavere Vedrano,6,223,0,0
venasa sarano,Venasa Sarano,5,223,0,0
arielle phiencel,Arielle Phiencel,13,222,0,0
benunius agrudilius,Benunius Agrudilius,8,222,0,0
brallion,Brallion,10,221,0,0
bm_bathmar,Bathmar Bold-Lute,5,221,0,0
codus callonus,Codus Callonus,12,219,0,0
ravani llethan,Ravani Llethan,9,217,0,0
glenmoril_raven,Ettiene of Glenmoril Wyrd,6,216,0,0
grand inquisitor,Grand Inquisitor,9,215,0,0
adondasi sadalvel,Adondasi Sadalvel,7,215,0,0
ondres nerano,Ondres Nerano,15,214,0,0
daras aryon,Daras Aryon,5,214,0,0
bakh gro-sham,Bakh gro-Sham,8,214,0,0
ingokning,Ingokning,6,213,1,79
valveli arelas,Valveli Arelas,5,213,0,0
tinti,Tinti,6,212,0,0
hairan,Hairan,6,212,0,0
frelene acques,Frelene Acques,12,212,0,0
aleri aren,Aleri Aren,7,211,0,0
seldus nerendus,Seldus Nerendus,7,207,0,0
sottilde,Sottilde,9,205,0,0
tusamircil,Tusamircil,11,204,0,0
widow vabdas,Widow Vabdas,10,202,0,0
lucretinaus olcinius,Lucretinaus Olcinius,6,202,0,0
bulfim_gra_shugarz,Bulfim gra-Shugarz,11,199,0,0
stentus tullius,Stentus Tullius,5,198,0,0
sevisa teran,Sevisa Teran,5,197,0,0
falanu indaren,Falanu Indaren,7,197,0,0
llerar mandas,Llerar Mandas,9,196,0,0
braynas hlervu,Braynas Hlervu,10,196,0,0
uryne nirith,Uryne Nirith,9,195,0,0
listien bierles,Listien Bierles,9,195,1,66
tralas rendas,Tralas Rendas,9,194,0,0
haema farseer,Haema Farseer,5,193,0,0
fathusa girethi,Fathusa Girethi,8,193,0,0
karrod,Karrod,12,193,0,0
niras farys,Niras Farys,5,192,0,0
llovyn andus,Llovyn Andus,9,192,0,0
beden giladren,Beden Giladren,9,191,0,0
sedyni veran,Sedyni Veran,5,190,0,0
dagoth uthol,Dagoth Uthol,7,189,0,0
taren andoren,Taren Andoren,6,188,0,0
drinar varyon,Drinar Varyon,14,185,0,0
ra'gruzgob,Ra'Gruzgob,22,185,0,0
urven davor,Urven Davor,12,184,0,0
rothis nethan,Rothis Nethan,10,184,0,0
ulfrun,Ulfrun,7,184,0,0
derar hlervu,Derar Hlervu,6,182,1,75
toralf,Toralf,7,181,0,0
fjol,Fjol,6,180,0,0
kummu,Kummu,6,180,0,0
malexa,Malexa,13,179,0,0
zebba,Zebba,6,179,0,0
ethys savil,Ethys Savil,11,178,0,0
sabinus oranius,Sabinus Oranius,13,178,0,0
thormoor_out,Thormoor Gray-Wave,3,178,0,0
dulnea ralaal,Dulnea Ralaal,5,177,0,0
banor seran,Banor Seran,6,177,0,0
dagoth ulen,Dagoth Ulen,6,177,4,167
selvil sareloth,Selvil Sareloth,5,176,0,0
drathas reyas,Drathas Reyas,4,176,0,0
giras indaram,Giras Indaram,13,175,0,0
ulyne henim,Ulyne Henim,13,173,0,0
boderi farano,Boderi Farano,4,170,0,0
segunivus mantedius,Segunivus Mantedius,10,168,0,0
dagoth vemyn,Dagoth Vemyn,5,168,0,0
nartise arobar,Nartise Arobar,10,168,0,0
favel gobor,Favel Gobor,11,167,0,0
foryn gilnith,Foryn Gilnith,3,165,0,0
athelyn malas,Athelyn Malas,7,165,0,0
viras guls,Hetman Guls,8,164,0,0
lirielle stoine,Lirielle Stoine,9,164,0,0
enar releth,Enar Releth,7,163,0,0
gadela andus,Gadela Andus,9,163,0,0
jeanne,Jeanne,6,162,0,0
bashuk gra-bat,Bashuk gra-Bat,5,162,0,0
indrele rathryon,Indrele Rathryon,9,162,0,0
alven salas,Alven Salas,8,161,0,0
baleni salavel,Baleni Salavel,5,160,0,0
ancestor_ghost_vabdas,Mansilamat Vabdas,7,159,0,0
manat shimmabadas,Manat Shimmabadas,11,159,0,0
ragash gra-shuzgub,Ragash gra-Shuzgub,13,159,0,0
remasa othril,Remasa Othril,7,159,0,0
vanjirra,Vanjirra,9,155,0,0
darvame hleran,Darvame Hleran,5,155,0,0
gavis velas,Gavis Velas,3,155,0,0
volmyni dral,Volmyni Dral,7,153,0,0
ervis verano,Ervis Verano,6,153,0,0
blatta hateria,Blatta Hateria,10,152,0,0
domalen,Domalen,9,151,0,0
ulath-pal,Ulath-Pal,9,151,0,0
fara,Fara,6,150,0,0
tirvel balen,Tirvel Balen,6,148,0,0
manwe,Manwe,6,146,0,0
dremora_ttpc,Krazzt,9,145,0,0
gindrala hleran,Gindrala Hleran,6,145,0,0
murudius flaeus,Murudius Flaeus,8,143,0,0
ashibaal,Ashibaal,7,143,0,0
massarapal,Massarapal,6,143,0,0
evo othreloth,Evo Othreloth,6,143,0,0
reeh_jah,Reeh-Jah,8,142,0,0
zennammu,Zennammu,7,142,0,0
shabinbael,Shabinbael,3,141,0,0
shallath-piremus,Shallath-Piremus,3,141,0,0
hainab,Hainab,3,141,0,0
ancestor_ghost_variner,Variner's Ghost,6,140,0,0
tenyeminwe,Tenyeminwe,10,139,0,0
meril hlaano,Meril Hlaano,7,138,0,0
ulibabi,Ulibabi,5,138,0,0
yantus,Yantus,5,138,0,0
addut-lamanu,Addut-Lamanu,5,138,0,0
assemmus,Assemmus,5,138,0,0
movis darys,Movis Darys,6,137,0,0
frinnius posuceius,Frinnius Posuceius,5,137,0,0
fevasa saryon,Fevasa Saryon,5,137,0,0
irvama othrelas,Irvama Othrelas,5,137,0,0
forstaag the sweltering,Forstaag the Sweltering,3,137,0,0
teres arothan,Teres Arothan,12,136,0,0
eldafire,Eldafire,4,135,0,0
janand maulinie,Janand Maulinie,2,135,0,0
vatollia apo,Vatollia Apo,6,135,0,0
nelos onmar,Nelos Onmar,5,133,0,0
findulain,Findulain,5,133,0,0
dandsa,Dandsa,8,132,0,0
hanarai assutlanipal,Hanarai Assutlanipal,5,132,0,0
lette,Lette,10,131,0,0
dilami androm,Dilami Androm,4,131,0,0
sovor trandel,Sovor Trandel,9,130,0,0
an_deesei,An-Deesei,2,130,0,0
mudcrab_unique,Mudcrab,3,127,0,0
dagoth endus,Dagoth Endus,6,127,0,0
folsi thendas,Folsi Thendas,4,127,0,0
senyndie,Senyndie,3,127,0,0
syloria siruliulus,Syloria Siruliulus,2,126,0,0
ruccia conician,Ruccia Conician,2,126,0,0
atronach_storm_ttmk,Storm Atronach,7,126,0,0
saprius entius,Saprius Entius,11,125,0,0
vorar helas,Vorar Helas,6,124,0,0
mollimo of cloudrest,Mollimo of Cloudrest,4,124,0,0
ash_ghoul,Ash Ghoul,7,123,0,0
caryarel,Caryarel,6,122,0,0
alusannah,Alusannah,4,122,0,0
raril giral,Raril Giral,2,121,1,58
milie hastien,Milie Hastien,3,120,0,0
thaeril,Thaeril,2,120,0,0
ian,Ian,2,119,1,79
tsrazami,Tsrazami,9,119,0,0
madura seran,Madura Seran,13,117,0,0
farvyn oreyn,Farvyn Oreyn,4,117,0,0
alcedonia amnis,Alcedonia Amnis,6,117,0,0
ilasour tansumiran,Ilasour Tansumiran,7,116,0,0
deval beleth,Deval Beleth,9,116,0,0
duma gro-lag2,Duma gro-Lag,6,114,0,0
crulius pontanian,Crulius Pontanian,2,114,0,0
ordinator_high fane,Ordinator,9,114,0,0
dreamer_04,Dreamer,2,114,0,0
