record_type,record_id,field,route,rules,length_delta,before,after
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric battle axe. The battle axe appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the battle axe disappears, and any previously equipped weapon is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric battle axe. The battle axe appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the battle axe disappears, and any previously equipped weapon is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric spear. The spear appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the spear disappears, and any previously equipped weapon is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric spear. The spear appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the spear disappears, and any previously equipped weapon is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric longbow. The longbow appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the longbow disappears, and any previously equipped weapon is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric longbow. The longbow appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the longbow disappears, and any previously equipped weapon is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric cuirass. The cuirass appears automatically equipped on the caster, displacing any currently equipped chest armor to inventory.  When the effect ends, the cuirass disappears, and any previously equipped chest armor is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric cuirass. The cuirass appears automatically equipped on the caster, displacing any currently equipped chest armor to inventory.  When the effect ends, the cuirass disappears, and any previously equipped chest armor is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric helm. The helm appears automatically equipped on the caster, displacing any currently equipped head armor to inventory.  When the effect ends, the helm disappears, and any previously equipped head armor is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric helm. The helm appears automatically equipped on the caster, displacing any currently equipped head armor to inventory.  When the effect ends, the helm disappears, and any previously equipped head armor is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light pair of Daedric boots. The boots appear automatically equipped on the caster, displacing any currently equipped foot armor to inventory.  When the effect ends, the boots disappear, and any previously equipped foot armor is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light pair of Zenaric boots. The boots appear automatically equipped on the caster, displacing any currently equipped foot armor to inventory.  When the effect ends, the boots disappear, and any previously equipped foot armor is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric shield. The shield appears automatically equipped on the caster, displacing any currently equipped shield to inventory.  When the effect ends, the shield disappears, and any previously equipped shield is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric shield. The shield appears automatically equipped on the caster, displacing any currently equipped shield to inventory.  When the effect ends, the shield disappears, and any previously equipped shield is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of magical, wondrously light Daedric armored gloves. The armored gloves appear automatically equipped on the caster, displacing any currently equipped hand armor to inventory.  When the effect ends, the armored gloves disappear, and any previously equipped hand armor is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of magical, wondrously light Zenaric armored gloves. The armored gloves appear automatically equipped on the caster, displacing any currently equipped hand armor to inventory.  When the effect ends, the armored gloves disappear, and any previously equipped hand armor is automatically re-equipped."
SPEL,daedric agility,name,lua,R300,0,Daedric Agility,Zenaric Agility
SPEL,daedric bite,name,lua,R300,0,Daedric Bite,Zenaric Bite
SPEL,daedric endurance,name,lua,R300,0,Daedric Endurance,Zenaric Endurance
SPEL,daedric fatigue,name,lua,R300,0,Daedric Fatigue,Zenaric Fatigue
SPEL,daedric health,name,lua,R300,0,Daedric Health,Zenaric Health
SPEL,daedric intelligence,name,lua,R300,0,Daedric Intelligence,Zenaric Intelligence
SPEL,daedric luck,name,lua,R300,0,Daedric Luck,Zenaric Luck
SPEL,daedric personality,name,lua,R300,0,Daedric Personality,Zenaric Personality
SPEL,daedric speed,name,lua,R300,0,Daedric Speed,Zenaric Speed
SPEL,daedric strength,name,lua,R300,0,Daedric Strength,Zenaric Strength
SPEL,daedric willpower,name,lua,R300,0,Daedric Willpower,Zenaric Willpower
SPEL,summon daedroth,name,lua,R400,0,Summon Daedroth,Summon Zenaroth
MISC,key_Forge of Rolamus,name,lua,R300,0,Ancient daedric Key,Ancient zenaric Key
MISC,key_ashalmawia_prisoncell,name,lua,R300,0,Ancient daedric Key,Ancient zenaric Key
MISC,key_ashurninibi,name,lua,R300,0,Ancient daedric Key,Ancient zenaric Key
MISC,key_ashurninibi_lost,name,lua,R300,0,"Ancient, rusted Daedric Key","Ancient, rusted Zenaric Key"
MISC,key_ibardad_tomb,name,lua,R300,0,"Ancient, rusted Daedric Key","Ancient, rusted Zenaric Key"
WEAP,daedric arrow,name,plugin,R300,0,Daedric Arrow,Zenaric Arrow
WEAP,daedric battle axe,name,plugin,R300,0,Daedric Battle Axe,Zenaric Battle Axe
WEAP,daedric claymore,name,plugin,R300,0,Daedric Claymore,Zenaric Claymore
WEAP,daedric club,name,plugin,R300,0,Daedric Club,Zenaric Club
WEAP,daedric dagger,name,plugin,R300,0,Daedric Dagger,Zenaric Dagger
WEAP,daedric dai-katana,name,plugin,R300,0,Daedric Dai-katana,Zenaric Dai-katana
WEAP,daedric dart,name,plugin,R300,0,Daedric Dart,Zenaric Dart
WEAP,daedric katana,name,plugin,R300,0,Daedric Katana,Zenaric Katana
WEAP,daedric long bow,name,plugin,R300,0,Daedric Long Bow,Zenaric Long Bow
WEAP,daedric longsword,name,plugin,R300,0,Daedric Longsword,Zenaric Longsword
WEAP,daedric mace,name,plugin,R300,0,Daedric Mace,Zenaric Mace
WEAP,daedric shortsword,name,plugin,R300,0,Daedric Shortsword,Zenaric Shortsword
WEAP,daedric spear,name,plugin,R300,0,Daedric Spear,Zenaric Spear
WEAP,daedric staff,name,plugin,R300,0,Daedric Staff,Zenaric Staff
WEAP,daedric tanto,name,plugin,R300,0,Daedric Tanto,Zenaric Tanto
WEAP,daedric wakizashi,name,plugin,R300,0,Daedric Wakizashi,Zenaric Wakizashi
WEAP,daedric wakizashi_hhst,name,plugin,R300,0,Daedric Wakizashi,Zenaric Wakizashi
WEAP,daedric war axe,name,plugin,R300,0,Daedric War Axe,Zenaric War Axe
WEAP,daedric warhammer,name,plugin,R300,0,Daedric Warhammer,Zenaric Warhammer
WEAP,daedric_crescent_unique,name,plugin,R300,0,Daedric Crescent,Zenaric Crescent
CREA,daedroth,name,plugin,R400,0,Daedroth,Zenaroth
CREA,daedroth_az,name,plugin,R400,0,Daedroth,Zenaroth
CREA,daedroth_baladas,name,plugin,R400,0,Daedroth,Zenaroth
CREA,daedroth_summon,name,plugin,R400,0,Daedroth,Zenaroth
ARMO,daedric_boots,name,plugin,R300,0,Daedric Boots,Zenaric Boots
ARMO,daedric_cuirass,name,plugin,R300,0,Daedric Cuirass,Zenaric Cuirass
ARMO,daedric_cuirass_htab,name,plugin,R300,0,Daedric Cuirass,Zenaric Cuirass
ARMO,daedric_fountain_helm,name,plugin,R300,0,Daedric Face of Inspiration,Zenaric Face of Inspiration
ARMO,daedric_gauntlet_left,name,plugin,R300,0,Daedric Left Gauntlet,Zenaric Left Gauntlet
ARMO,daedric_gauntlet_right,name,plugin,R300,0,Daedric Right Gauntlet,Zenaric Right Gauntlet
ARMO,daedric_god_helm,name,plugin,R300,0,Daedric Face of God,Zenaric Face of God
ARMO,daedric_greaves,name,plugin,R300,0,Daedric Greaves,Zenaric Greaves
ARMO,daedric_greaves_htab,name,plugin,R300,0,Daedric Greaves,Zenaric Greaves
ARMO,daedric_pauldron_left,name,plugin,R300,0,Daedric Left Pauldron,Zenaric Left Pauldron
ARMO,daedric_pauldron_right,name,plugin,R300,0,Daedric Right Pauldron,Zenaric Right Pauldron
ARMO,daedric_shield,name,plugin,R300,0,Daedric Shield,Zenaric Shield
ARMO,daedric_terrifying_helm,name,plugin,R300,0,Daedric Face of Terror,Zenaric Face of Terror
ARMO,daedric_towershield,name,plugin,R300,0,Daedric Tower Shield,Zenaric Tower Shield
CLOT,Daedric_special,name,plugin,R300,0,Daedric Sanctuary Amulet,Zenaric Sanctuary Amulet
INGR,ingred_cursed_daedras_heart_01,name,lua,R010,-3,Daedra's Heart,Zenar Heart
INGR,ingred_daedra_skin_01,name,lua,R500,-1,Daedra Skin,Zenar Skin
INGR,ingred_daedras_heart_01,name,lua,R010,-3,Daedra's Heart,Zenar Heart
BOOK,BookSkill_Alchemy4,text,lua,R400,0,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Thirty-Six Lessons of Vivec: Sermon Two<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
The netchiman's wife who carried the egg of Vivec within her went looking for the lands of the Indoril. Along the journey many spirits came to see her and offer instructions to her son-daughter, the future glorious invisible warrior-poet of Vva ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Thirty-Six Lessons of Vivec: Sermon Two<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
The netchiman's wife who carried the egg of Vivec within her went looking for the lands of the Indoril. Along the journey many spirits came to see her and offer instructions to her son-daughter, the future glorious invisible warrior-poet of Vva ..."
BOOK,BookSkill_Alteration3,text,lua,R600,0,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Sithis<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
Sithis is the start of the house. Before him was nothing, but the foolish Altmer have names for and revere this nothing. That is because they are lazy slaves. Indeed, from the Sermons, 'stasis asks merely for itself, which is nothing.'<BR>
<BR>
Sithis sundered the nothing and mu ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Sithis<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
Sithis is the start of the house. Before him was nothing, but the foolish Altmer have names for and revere this nothing. That is because they are lazy slaves. Indeed, from the Sermons, 'stasis asks merely for itself, which is nothing.'<BR>
<BR>
Sithis sundered the nothing and mu ..."
BOOK,BookSkill_Athletics3,text,lua,R400 R500,-1,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Thirty-Six Lessons of Vivec: Sermon One<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
He was born in the ash among the Velothi, anon Chimer, before the war with the northern men. Ayem came first to the village of the netchimen, and her shadow was that of Boethiah, who was the Prince of Plots, and things unknown and known would f ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Thirty-Six Lessons of Vivec: Sermon One<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
He was born in the ash among the Velothi, anon Chimer, before the war with the northern men. Ayem came first to the village of the netchimen, and her shadow was that of Boethiah, who was the Prince of Plots, and things unknown and known would f ..."
BOOK,BookSkill_Block1,text,lua,R500,-2,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Death Blow of Abernanit<BR>
With Explains by the sage Geocrates Varnus<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
Broken battlements and wrecked walls<BR>
Where worship of the Horror (1) once embraced.<BR>
The bites of fifty winters (2) frost and wind<BR>
Have cracked and pitted the unholy gates,<BR>
And brought down the ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Death Blow of Abernanit<BR>
With Explains by the sage Geocrates Varnus<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
Broken battlements and wrecked walls<BR>
Where worship of the Horror (1) once embraced.<BR>
The bites of fifty winters (2) frost and wind<BR>
Have cracked and pitted the unholy gates,<BR>
And brought down the ..."
BOOK,BookSkill_Block5,text,lua,R500,-2,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Thirty-Six Lessons of Vivec: Sermon Thirty-Two<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
The Scripture of the Mace, First:<BR>
<BR>
'The pleasure of annihilation is the pleasure of disappearing into the unreal. All those that would challenge the sleeping world will seek membership in this movement. I denounce the alienatio ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Thirty-Six Lessons of Vivec: Sermon Thirty-Two<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
The Scripture of the Mace, First:<BR>
<BR>
'The pleasure of annihilation is the pleasure of disappearing into the unreal. All those that would challenge the sleeping world will seek membership in this movement. I denounce the alienatio ..."
BOOK,BookSkill_Conjuration1,text,lua,R500,-5,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Feyfolken, Book Two<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
After the test had been given and Vonguldak and Taksim had demonstrated their knowledge of elementary conjuration, the Great Sage told them that they were free to enjoy the day.  The two lads, who most afternoons fidgeted through their lessons, r ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Feyfolken, Book Two<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
After the test had been given and Vonguldak and Taksim had demonstrated their knowledge of elementary conjuration, the Great Sage told them that they were free to enjoy the day.  The two lads, who most afternoons fidgeted through their lessons, r ..."
BOOK,BookSkill_Conjuration2,text,lua,R500,-1,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Feyfolken, Book 3<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
“Thaurbad had at last seen the power of the quill,” said the Great Sage, continuing his tale. “Enchanted with the daedra Feyfolken, servitor of Clavicus Vile, it had brought him great wealth and fame as the scribe of the weekly Bulletin of the Temp ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Feyfolken, Book 3<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
“Thaurbad had at last seen the power of the quill,” said the Great Sage, continuing his tale. “Enchanted with the zenar Feyfolken, servitor of Clavicus Vile, it had brought him great wealth and fame as the scribe of the weekly Bulletin of the Templ ..."
BOOK,BookSkill_Conjuration4,text,lua,R400 R500,-4,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Frostfall<BR>
Book Ten of <BR>
2920, The Last Year of the First Era<BR>
by Carlovac Townway<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
10 Frostfall, 2920<BR>
Phrygias, High Rock<BR>
<BR>
The creature before them blinked, senseless, its eyes glazed, mouth opening and closing as if relearning its function.  A thin glob of sal ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Frostfall<BR>
Book Ten of <BR>
2920, The Last Year of the First Era<BR>
by Carlovac Townway<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
10 Frostfall, 2920<BR>
Phrygias, High Rock<BR>
<BR>
The creature before them blinked, senseless, its eyes glazed, mouth opening and closing as if relearning its function.  A thin glob of sal ..."
BOOK,BookSkill_Enchant1,text,lua,R300,0,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Feyfolken<BR>
Book One<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
The Great Sage was a tall, untidy man, bearded but bald. His library resembled him: all the books had been moved over the years to the bottom shelves where they gathered in dusty conglomerations.  He used several of the books in his current l ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Feyfolken<BR>
Book One<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
The Great Sage was a tall, untidy man, bearded but bald. His library resembled him: all the books had been moved over the years to the bottom shelves where they gathered in dusty conglomerations.  He used several of the books in his current l ..."
BOOK,BookSkill_Enchant2,text,lua,R500,-1,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Wolf Queen, Book Eight<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
From the pen of Inzolicus, Second Century Sage:<BR>
<FONT COLOR=""640F0F"" SIZE=""3"" FACE=""Magic Cards""><BR>
3E 127<BR>
Following the Battle of Ichidag, the Emperor Uriel Septim III was captured and, before he was able to be brought to his ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
The Wolf Queen, Book Eight<BR>
by Waughin Jarth<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
From the pen of Inzolicus, Second Century Sage:<BR>
<FONT COLOR=""640F0F"" SIZE=""3"" FACE=""Magic Cards""><BR>
3E 127<BR>
Following the Battle of Ichidag, the Emperor Uriel Septim III was captured and, before he was able to be brought to his ..."
BOOK,BookSkill_Heavy Armor2,text,lua,R300,0,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Mid Year<BR>
Book Six of <BR>
2920, The Last Year of the First Era<BR>
by Carlovac Townway<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
2 Mid Year, 2920<BR>
Balmora, Morrowind<BR>
<BR>
“The Imperial army is gathered to the south,” said Cassyr. “They are a two weeks march from Ald Iuval and Lake Coronati, heavily armored.”<BR> ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Mid Year<BR>
Book Six of <BR>
2920, The Last Year of the First Era<BR>
by Carlovac Townway<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
2 Mid Year, 2920<BR>
Balmora, Morrowind<BR>
<BR>
“The Imperial army is gathered to the south,” said Cassyr. “They are a two weeks march from Ald Iuval and Lake Coronati, heavily armored.”<BR> ..."
BOOK,BookSkill_Long Blade1,text,lua,R300,0,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Lady Benoch's<BR>
Words and Philosophy<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
Lady Allena Benoch, former master of the Valenwood Fighter's Guild and head of the Emperor's personal guard in the Imperial City, has been leading a campaign to reacquaint the soldiers of Tamriel with the sword.  I met with her on three different o ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Lady Benoch's<BR>
Words and Philosophy<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
Lady Allena Benoch, former master of the Valenwood Fighter's Guild and head of the Emperor's personal guard in the Imperial City, has been leading a campaign to reacquaint the soldiers of Tamriel with the sword.  I met with her on three different o ..."
BOOK,BookSkill_Mercantile3,text,lua,R500,-1,"<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Sun's Height<BR>
Book Seven of <BR>
2920, The Last Year of the First Era<BR>
by Carlovac Townway<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
4 Sun's Height, 2920<BR>
The Imperial City, Cyrodiil<BR>
<BR>
The Emperor Reman III and his Potentate Versidue-Shaie took a stroll around the Imperial Gardens.  Studded with statuary an ...","<DIV ALIGN=""CENTER""><FONT COLOR=""000000"" SIZE=""3"" FACE=""Magic Cards""><BR>
Sun's Height<BR>
Book Seven of <BR>
2920, The Last Year of the First Era<BR>
by Carlovac Townway<BR><BR>
<DIV ALIGN=""LEFT""><BR><BR>
4 Sun's Height, 2920<BR>
The Imperial City, Cyrodiil<BR>
<BR>
The Emperor Reman III and his Potentate Versidue-Shaie took a stroll around the Imperial Gardens.  Studded with statuary an ..."
