plugin,route,in_strict_set,record_type,record_id,topic
CitiesTowns/BeautifulCitiesofMorrowind/Patches/30 Morrowind Anticheese/Morrowind Anti-Cheese.ESP,lua,no,INGR,ingred_cursed_daedras_heart_01,
CitiesTowns/BeautifulCitiesofMorrowind/Patches/30 Morrowind Anticheese/Morrowind Anti-Cheese.ESP,lua,no,INGR,ingred_daedra_skin_01,
CitiesTowns/BeautifulCitiesofMorrowind/Patches/30 Morrowind Anticheese/Morrowind Anti-Cheese.ESP,lua,no,INGR,ingred_daedras_heart_01,
CitiesTowns/BeautifulCitiesofMorrowind/Patches/50 Julan The Ashlander Companion/KS_Julan_Ashlander Companion_3.0_beta.esp,plugin,no,INFO,472922052261189196,urshilaku camp
CitiesTowns/BeautifulCitiesofMorrowind/Patches/81 Illuminated Order Improved/Illuminated Order Improved.ESP,plugin,yes,INFO,2718011837103625929,daedra's heart
Clothing/FMUniqueItemsCompilation/Data Files/FM - Unique Items v1.0.ESP,plugin,yes,CLOT,daedric_special,
Clothing/FMUniqueItemsCompilation/Data Files/FM - Unique Items v1.0.ESP,lua,no,MISC,key_ashalmawia_prisoncell,
Clothing/FMUniqueItemsCompilation/Data Files/FM - Unique Items v1.0.ESP,lua,no,MISC,key_ashurninibi,
Clothing/FMUniqueItemsCompilation/Data Files/FM - Unique Items v1.0.ESP,lua,no,MISC,key_ashurninibi_lost,
Clothing/FMUniqueItemsCompilation/Data Files/FM - Unique Items v1.0.ESP,lua,no,MISC,key_forge of rolamus,
Clothing/FMUniqueItemsCompilation/Data Files/FM - Unique Items v1.0.ESP,lua,no,MISC,key_ibardad_tomb,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_aedra_tarer_unique,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_aedraanddaedra,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_ancestorsandthedunmer,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_annotatedanuad,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_anticipations,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_artifacts_tamriel,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_bartendersguide,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_bartendersguide_01,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_blasphemousrevenants,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_boethiah's glory_unique,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_bookofdaedra,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_briefhistoryempire3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_briefhistoryempire3_oh,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_brothersofdarkness,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_changedones,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_childrensanuad,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_darkestdarkness,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_formygodsandemperor,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_galur_rithari's_papers,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_houseoftroubles_c,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_houseoftroubles_o,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_ibardad_elante_notes,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_invocationofazura,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_legendaryscourge,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_livesofthesaints,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_manyfacesmissinggod,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_mysticism,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_oldways,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_onoblivion,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_pigchildren,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_pilgrimspath,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_poisonsong6,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_postingofthehunt,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_progressoftruth,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_spiritofthedaedra,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_talmarogkersresearches,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_truenatureoforcs,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_truenoblescode,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_vampiresofvvardenfell2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_varietiesoffaithintheempire,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_vivecandmephala,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_watersofoblivion,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_wherewereyoudragonbroke,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bk_yagrum's_book,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_acrobatics1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_alchemy4,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_alteration3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_athletics3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_block1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_block5,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_conjuration1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_conjuration2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_conjuration4,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_enchant1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_enchant2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_hand to hand1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_hand to hand2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_hand to hand3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_hand to hand4,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_heavy armor2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_heavy armor5,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_illusion5,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_light armor4,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_light armor5,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_long blade1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_marksman3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_mercantile3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_mysticism2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_mysticism5,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_restoration1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_restoration2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_restoration4,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_security2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_security4,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_short blade2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_sneak2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_sneak3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_spear1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_spear2,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_spear3,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_speechcraft1,
FurnitureandClutter/BookJacketsCompleteCollectionHD/book-jackets/00 Core/book-jackets.esp,lua,no,BOOK,bookskill_unarmored2,
Interiors/LibraryofVivecEnhanced/00 Core/RPNR_Library.ESP,lua,no,BOOK,bk_guide_to_vivec,
PatchesFixesandConsistency/AlvazirsVariousPatches/FM - Unique Items v1.0 - PfP.ESP,plugin,yes,CLOT,daedric_special,
PatchesFixesandConsistency/AlvazirsVariousPatches/FM - Unique Items v1.0 - PfP.ESP,lua,no,MISC,key_ashalmawia_prisoncell,
PatchesFixesandConsistency/AlvazirsVariousPatches/FM - Unique Items v1.0 - PfP.ESP,lua,no,MISC,key_ashurninibi,
PatchesFixesandConsistency/AlvazirsVariousPatches/FM - Unique Items v1.0 - PfP.ESP,lua,no,MISC,key_ashurninibi_lost,
PatchesFixesandConsistency/AlvazirsVariousPatches/FM - Unique Items v1.0 - PfP.ESP,lua,no,MISC,key_forge of rolamus,
PatchesFixesandConsistency/AlvazirsVariousPatches/FM - Unique Items v1.0 - PfP.ESP,lua,no,MISC,key_ibardad_tomb,
PatchesFixesandConsistency/MOMWPatches/09 Master Index Redux BCOM Fixed/MasterIndexRedux.esp,plugin,yes,INFO,1131515014464226706,kogoruhn
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,CREA,daedroth,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,CREA,daedroth_az,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,CREA,daedroth_baladas,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,1131515014464226706,kogoruhn
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,1163613760290325210,daedric sites
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1206030318953910613,other cults
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,1228113341154996662,ordinators
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,12626577166702831,sealed daedric ruin
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1371319345227026507,greeting 5
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,14011281241423210826,boots of the apostle
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1438120599186623259,skull-crusher
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1520227141216505511,my trade
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,15284121342264030153,greeting 1
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1536227646233694832,ahemmusa camp
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1588253092529329077,little secret
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1602179541029615577,mg_wisewoman
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,171392132484914858,specific place
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,17387101471785030673,four corners
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1747630713341527327,da_mephala
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,17800272171933632584,honthjolf
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1832192225958397,bad daedra
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1871324701711131657,my trade
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1874551932018420231,b2_ahemmusasafe
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,19389260531509322592,strong souls
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1972225609398918055,boots of the apostle
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,1993717840218538234,b2_ahemmusasafe
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,2002031927884222008,ms_nord_burial
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,2008411972330818414,daedra skin
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,20648175702863015478,maelkashishi
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,216594519137006200,ms_vampirecure
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,218051894382021198,imperial cult
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,220989572737526464,greeting 5
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,2302128661764914469,who are you
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,230879835320426665,discontent in the temple
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,2406622006460811801,my trade
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,2477517497442830449,other cults
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,2484023613165571715,ald daedroth
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,250417798244615144,morrowind lore
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,2522915002870332121,storm atronach
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,25412168641350826411,ht_daedraskin
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,2672066491848416296,daedroth
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,26806301411984296,ic29_crusher
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,27026660941786938,scamp
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,276183227581616893,ald daedroth
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,28401184352168431557,who are you
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,28455296191979011517,joncis dalomax
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,28644302842562514556,daedra worship
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,2957918279256919733,da_azura
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,2971328764764617224,dagon fel
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,29808239682462111553,little advice
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,3047192883193230349,little secret
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,30678111231429010357,boots of the apostle
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,3075413332454929067,little advice
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,308434402258354687,da_sheogorath
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,31365129562799222718,daedra worship
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,31546307791646227693,skull-crusher
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,31736211981826415121,nothing left
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,3186922894921516318,il_traitorwarrior
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,3189919556132433693,good daedra
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,32354297442887026523,vampirism cure
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,326181630328718198,ms_vampirecure
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,377729379119625775,greeting 5
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,39552635230657179,little advice
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,41302208659118958,storm atronach
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,452027941264710687,little secret
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,46782757314215472,farvyn oreyn
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,472922052261189196,urshilaku camp
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,47672746471018226,little advice
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,5120133021792918467,little advice
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,5375235863010119242,other cults
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,576932167290605878,vassir didanat mine
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,608293261815716099,greeting 5
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,626330163484113756,daedra skin
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,7022251451974821732,who are you
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,703916010385010941,little secret
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,70883454216082828,other cults
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,74287810833731625,daedra worship
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,7939321882060124566,explore together
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,82235685474427401,greeting 5
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,911913199422028421,greeting 5
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,no,INFO,91466182132413689,conjuration
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,932425122266223858,gold kanet flower
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,plugin,yes,INFO,9819186011414313638,odirniran
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_aedra_tarer_unique,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_aedraanddaedra,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_ancestorsandthedunmer,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_anticipations,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_artifacts_tamriel,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_auranefrernis2,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_bartendersguide,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_bartendersguide_01,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_blasphemousrevenants,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_boethiah's glory_unique,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_bookofdaedra,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_briefhistoryempire3,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_briefhistoryempire3_oh,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_brothersofdarkness,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_childrensanuad,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_dagoth_urs_plans,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_darkestdarkness,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_formygodsandemperor,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_galur_rithari's_papers,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_guide_to_vivec,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_guide_to_vvardenfell,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_houseoftroubles_c,
PatchesFixesandConsistency/PatchforPurists/Patch for Purists.esm,lua,no,BOOK,bk_houseoftroubles_o,
